center,left,right,steering,throttle,reverse,speed
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_08_364.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_08_364.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_08_364.jpg,0,0,0,7.661584
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_08_431.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_08_431.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_08_431.jpg,0,0,0,7.600215
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_08_519.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_08_519.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_08_519.jpg,0,0,0,7.53928
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_08_610.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_08_610.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_08_610.jpg,0,0,0,7.463782
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_08_678.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_08_678.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_08_678.jpg,0,0,0,7.418848
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_08_767.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_08_767.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_08_767.jpg,0,0,0,7.344559
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_08_836.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_08_836.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_08_836.jpg,0,0,0,7.300344
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_08_930.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_08_930.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_08_930.jpg,0,0,0,7.227246
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_09_017.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_09_017.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_09_017.jpg,0,0,0,7.169296
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_09_085.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_09_085.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_09_085.jpg,0,0,0,7.111731
C:\Users\HP\Data\IMG\center_2020_08_25_10_28_09_152.jpg,C:\Users\HP\Data\IMG\left_2020_08_25_10_28_09_152.jpg,C:\Users\HP\Data\IMG\right_2020_08_25_10_28_09_152.jpg,0,0,0,7.068798
